Kecamatan;Desa/Kelurahan;TPS;1 PKB;2 Gerindra;3 PDIP;4 Golkar;5 Nasdem;6 Buruh;7 Gelora;8 PKS;9 PKN;10 Hanura;11 Garuda;12 PAN;13 PBB;14 Demokrat;15 PSI;16 Perindo;17 PPP;24 Umat
AJIBARANG;AJIBARANG WETAN;TPS-004;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012004
AJIBARANG;AJIBARANG WETAN;TPS-005;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012005
AJIBARANG;AJIBARANG WETAN;TPS-006;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012006
AJIBARANG;AJIBARANG WETAN;TPS-007;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012007
AJIBARANG;AJIBARANG WETAN;TPS-008;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012008
AJIBARANG;AJIBARANG WETAN;TPS-009;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012009
AJIBARANG;AJIBARANG WETAN;TPS-010;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012010
AJIBARANG;AJIBARANG WETAN;TPS-011;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012011
AJIBARANG;AJIBARANG WETAN;TPS-012;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012012
AJIBARANG;AJIBARANG WETAN;TPS-013;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012013
AJIBARANG;AJIBARANG WETAN;TPS-014;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012014
AJIBARANG;AJIBARANG WETAN;TPS-015;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012015
AJIBARANG;AJIBARANG WETAN;TPS-016;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012016
AJIBARANG;AJIBARANG WETAN;TPS-017;54;15;56;10;14;1;0;7;2;0;1;3;0;7;3;0;39;2
AJIBARANG;AJIBARANG WETAN;TPS-018;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142012/3302142012018
AJIBARANG;BANJARSARI;TPS-001;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142005/3302142005001
AJIBARANG;BANJARSARI;TPS-002;66;12;17;8;58;1;1;8;0;0;1;4;0;4;2;0;4;1
AJIBARANG;BANJARSARI;TPS-003;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142005/3302142005003
AJIBARANG;BANJARSARI;TPS-004;72;1;34;3;50;0;0;6;1;0;0;4;0;8;1;0;0;2
AJIBARANG;BANJARSARI;TPS-005;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142005/3302142005005
AJIBARANG;BANJARSARI;TPS-006;46;10;41;7;69;0;1;6;0;0;0;8;0;7;0;0;10;1
AJIBARANG;BANJARSARI;TPS-007;49;7;18;4;65;1;1;16;0;0;0;1;0;9;0;1;2;0
AJIBARANG;BANJARSARI;TPS-008;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142005/3302142005008
AJIBARANG;BANJARSARI;TPS-009;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142005/3302142005009
AJIBARANG;BANJARSARI;TPS-010;30;3;24;3;61;2;1;42;0;0;1;2;0;15;0;0;5;0
AJIBARANG;BANJARSARI;TPS-011;56;1;37;2;59;1;0;33;0;0;0;2;0;3;0;1;3;0
AJIBARANG;BANJARSARI;TPS-012;70;20;21;6;66;0;1;9;0;0;1;1;0;7;1;0;2;0
AJIBARANG;BANJARSARI;TPS-013;21;7;41;4;87;1;2;18;0;0;0;6;0;7;1;0;1;1
AJIBARANG;BANJARSARI;TPS-014;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142005/3302142005014
AJIBARANG;BANJARSARI;TPS-015;68;15;15;2;51;0;4;30;0;0;0;13;0;12;0;3;0;0
AJIBARANG;BANJARSARI;TPS-016;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142005/3302142005016
AJIBARANG;BANJARSARI;TPS-017;100;6;37;10;20;1;1;6;0;0;0;1;0;21;0;1;1;0
AJIBARANG;BANJARSARI;TPS-018;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142005/3302142005018
AJIBARANG;BANJARSARI;TPS-019;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142005/3302142005019
AJIBARANG;BANJARSARI;TPS-020;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142005/3302142005020
AJIBARANG;BANJARSARI;TPS-021;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142005/3302142005021
