Kecamatan;Desa/Kelurahan;TPS;1 PKB;2 Gerindra;3 PDIP;4 Golkar;5 Nasdem;6 Buruh;7 Gelora;8 PKS;9 PKN;10 Hanura;11 Garuda;12 PAN;13 PBB;14 Demokrat;15 PSI;16 Perindo;17 PPP;24 Umat
ADIPALA;ADIRAJA;TPS-014;70;20;76;7;2;2;0;5;0;1;0;10;0;8;2;2;0;0
ADIPALA;ADIRAJA;TPS-015;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032012/3301032012015
ADIPALA;ADIRAJA;TPS-016;0;0;98;4;3;1;2;31;1;0;1;7;1;1;6;0;3;0
ADIPALA;ADIRAJA;TPS-017;89;11;80;7;8;0;0;8;1;0;0;2;0;3;5;1;8;0
ADIPALA;ADIRAJA;TPS-018;25;23;86;6;0;0;1;19;0;0;0;0;0;0;6;7;5;0
ADIPALA;ADIRAJA;TPS-019;42;30;32;11;1;0;0;73;0;0;0;4;0;0;2;4;6;0
ADIPALA;ADIREJA KULON;TPS-001;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032010/3301032010001
ADIPALA;ADIREJA KULON;TPS-002;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032010/3301032010002
ADIPALA;ADIREJA KULON;TPS-003;9;52;20;19;11;0;0;6;2;0;0;17;0;18;3;0;10;1
ADIPALA;ADIREJA KULON;TPS-004;16;20;27;15;7;3;1;13;1;0;0;56;0;10;1;4;2;1
ADIPALA;ADIREJA KULON;TPS-005;14;47;29;9;10;1;1;17;0;0;0;47;0;13;6;2;8;3
ADIPALA;ADIREJA WETAN;TPS-001;19;25;52;30;14;0;1;12;1;1;0;2;0;6;3;2;30;0
ADIPALA;ADIREJA WETAN;TPS-002;26;40;44;29;15;1;1;3;0;0;0;1;0;10;3;2;18;0
ADIPALA;ADIREJA WETAN;TPS-003;53;36;24;19;8;1;3;16;0;0;1;9;0;5;2;3;12;0
ADIPALA;ADIREJA WETAN;TPS-004;24;50;47;34;14;0;1;9;0;0;1;2;1;3;2;6;7;1
ADIPALA;ADIREJA WETAN;TPS-005;54;36;31;8;10;0;3;10;0;0;0;4;0;2;0;2;13;1
ADIPALA;ADIREJA WETAN;TPS-006;48;42;23;15;22;0;1;6;0;0;0;10;0;14;3;2;6;0
ADIPALA;ADIREJA WETAN;TPS-007;15;41;23;6;23;2;3;4;0;1;0;9;0;9;2;9;53;0
ADIPALA;ADIREJA WETAN;TPS-008;20;40;24;12;15;1;2;1;0;0;0;5;0;2;1;6;71;1
ADIPALA;ADIREJA WETAN;TPS-009;11;52;23;6;7;1;0;2;0;0;0;5;0;4;1;2;97;1
ADIPALA;ADIREJA WETAN;TPS-010;21;58;23;6;4;2;1;4;2;0;0;3;0;0;0;8;82;1
ADIPALA;BUNTON;TPS-001;7;15;56;24;4;2;0;0;0;1;1;2;0;1;3;9;64;0
ADIPALA;BUNTON;TPS-002;5;9;50;28;5;0;0;1;0;0;0;10;0;4;0;6;82;0
ADIPALA;BUNTON;TPS-003;6;11;100;19;13;0;1;4;0;0;2;18;0;7;1;4;17;0
ADIPALA;BUNTON;TPS-004;4;28;58;39;10;0;1;3;0;1;0;9;0;3;2;13;19;0
ADIPALA;BUNTON;TPS-005;59;28;22;20;4;0;2;4;0;0;1;0;0;9;13;2;42;1
ADIPALA;BUNTON;TPS-006;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032006/3301032006006
ADIPALA;BUNTON;TPS-007;57;48;13;13;5;1;2;1;0;0;0;16;0;1;5;1;39;0
ADIPALA;BUNTON;TPS-008;38;49;30;9;6;3;0;0;0;1;0;10;0;10;7;5;25;2
ADIPALA;BUNTON;TPS-009;56;23;37;3;1;1;0;0;0;0;0;5;0;18;0;1;29;1
ADIPALA;BUNTON;TPS-010;16;70;11;12;10;1;2;3;0;0;0;0;0;6;1;1;45;0
ADIPALA;BUNTON;TPS-011;34;57;39;16;7;0;0;2;2;0;0;17;0;3;4;3;26;0
ADIPALA;BUNTON;TPS-012;9;21;11;5;3;1;0;6;0;0;0;54;0;1;0;3;78;0
ADIPALA;BUNTON;TPS-013;25;73;27;20;7;1;0;8;0;0;0;17;0;6;4;0;5;0
ADIPALA;BUNTON;TPS-014;55;35;23;12;0;0;0;8;0;0;0;67;0;2;3;1;4;0
ADIPALA;BUNTON;TPS-015;37;35;20;11;3;1;0;15;0;0;1;6;1;5;0;0;28;1
ADIPALA;BUNTON;TPS-016;12;39;33;6;5;1;0;4;1;0;1;7;0;2;1;5;91;0
ADIPALA;BUNTON;TPS-017;16;39;60;12;9;0;0;2;1;0;0;1;0;5;0;1;64;0
ADIPALA;BUNTON;TPS-018;5;18;59;6;9;0;2;1;2;1;0;1;0;1;4;1;74;2
ADIPALA;BUNTON;TPS-019;4;55;19;4;5;1;0;5;0;0;0;5;0;1;0;1;72;1
ADIPALA;BUNTON;TPS-020;44;19;22;3;4;1;1;5;0;0;0;1;0;2;0;11;4;0
ADIPALA;BUNTON;TPS-021;26;20;42;8;18;1;1;6;0;0;0;1;0;1;1;21;3;0
ADIPALA;DOPLANG;TPS-001;1;65;17;1;4;1;2;8;0;0;0;18;0;4;2;6;88;0
ADIPALA;DOPLANG;TPS-002;5;21;7;3;9;0;1;11;0;0;0;28;0;7;1;0;101;0
ADIPALA;DOPLANG;TPS-003;7;15;15;2;5;3;3;8;0;0;0;5;0;10;0;1;117;1
ADIPALA;DOPLANG;TPS-004;8;30;6;1;4;0;0;13;0;0;0;6;0;13;0;1;118;0
ADIPALA;DOPLANG;TPS-005;9;21;14;4;4;0;0;4;0;2;0;14;0;25;3;0;88;0
ADIPALA;DOPLANG;TPS-006;10;58;13;4;2;1;0;17;0;0;0;5;0;4;0;1;91;0
ADIPALA;DOPLANG;TPS-007;8;40;17;3;9;0;0;20;1;0;0;2;0;3;1;0;81;2
ADIPALA;DOPLANG;TPS-008;10;26;40;9;3;1;2;11;0;0;0;5;0;31;3;0;61;0
ADIPALA;DOPLANG;TPS-009;42;55;23;6;7;3;2;7;0;1;2;80;0;46;1;2;118;0
ADIPALA;DOPLANG;TPS-010;2;12;10;1;5;0;0;9;0;0;0;6;0;9;0;0;123;0
ADIPALA;DOPLANG;TPS-011;5;20;15;11;4;2;1;3;0;1;1;6;1;7;0;0;85;0
ADIPALA;DOPLANG;TPS-012;11;25;17;8;2;0;0;14;0;0;1;5;0;9;4;1;101;0
ADIPALA;DOPLANG;TPS-013;4;17;5;7;2;0;1;5;0;2;0;5;0;27;1;3;109;0
ADIPALA;DOPLANG;TPS-014;5;38;3;4;3;1;2;15;0;0;1;8;0;5;2;0;83;2
ADIPALA;DOPLANG;TPS-015;18;22;16;3;9;1;1;2;0;0;0;3;0;23;0;0;59;1
ADIPALA;GLEMPANGPASIR;TPS-001;10;37;33;19;2;0;1;1;1;0;0;3;0;4;1;0;35;1
ADIPALA;GLEMPANGPASIR;TPS-002;9;55;34;29;2;3;2;9;1;0;0;8;0;4;5;2;13;1
ADIPALA;GLEMPANGPASIR;TPS-003;20;46;46;26;4;1;2;1;1;1;1;12;1;11;3;4;14;1
ADIPALA;GLEMPANGPASIR;TPS-004;24;47;28;17;6;3;1;6;1;0;0;10;0;2;6;0;32;0
ADIPALA;GLEMPANGPASIR;TPS-005;15;39;40;17;11;1;1;8;0;0;0;4;1;2;3;1;66;0
ADIPALA;GLEMPANGPASIR;TPS-006;13;16;38;24;1;0;0;9;0;0;0;6;0;3;10;2;64;0
ADIPALA;GLEMPANGPASIR;TPS-007;25;24;35;45;8;1;4;1;1;2;0;4;0;2;13;1;49;0
ADIPALA;GLEMPANGPASIR;TPS-008;21;35;31;32;4;1;0;8;0;0;2;3;0;4;24;5;44;2
ADIPALA;GLEMPANGPASIR;TPS-009;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032002/3301032002009
ADIPALA;GLEMPANGPASIR;TPS-010;36;55;19;13;4;1;0;8;2;0;1;0;0;3;1;1;70;0
ADIPALA;GLEMPANGPASIR;TPS-011;58;43;18;8;3;1;1;13;0;0;1;8;0;1;2;1;26;0
ADIPALA;GLEMPANGPASIR;TPS-012;36;43;29;7;6;1;1;4;3;0;1;17;2;2;4;3;44;0
ADIPALA;GLEMPANGPASIR;TPS-013;59;40;19;3;4;2;0;0;0;0;1;25;0;4;0;0;32;3
ADIPALA;GLEMPANGPASIR;TPS-014;40;26;39;9;6;1;1;1;0;0;0;19;0;1;2;1;56;0
ADIPALA;GLEMPANGPASIR;TPS-015;43;29;34;7;3;0;2;6;0;0;0;17;0;4;2;0;70;1
ADIPALA;GLEMPANGPASIR;TPS-016;58;22;13;11;5;0;0;13;0;0;0;40;0;5;0;1;16;0
ADIPALA;GLEMPANGPASIR;TPS-017;41;14;18;2;9;0;1;10;0;1;3;68;0;2;0;0;37;0
ADIPALA;GLEMPANGPASIR;TPS-018;17;20;9;6;6;2;0;0;0;0;1;91;0;2;0;0;34;2
ADIPALA;GLEMPANGPASIR;TPS-019;48;26;15;11;5;0;2;1;0;0;0;28;0;4;0;0;61;1
ADIPALA;GLEMPANGPASIR;TPS-020;29;26;18;10;3;0;1;2;0;0;0;27;0;1;2;0;60;0
ADIPALA;GLEMPANGPASIR;TPS-021;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032002/3301032002021
ADIPALA;GLEMPANGPASIR;TPS-022;14;42;42;28;3;3;1;3;0;0;0;38;0;5;1;1;35;0
ADIPALA;GLEMPANGPASIR;TPS-023;30;21;27;14;2;1;3;2;0;0;1;12;0;2;1;17;23;1
ADIPALA;GLEMPANGPASIR;TPS-024;16;23;32;12;1;1;0;3;0;0;0;13;0;4;0;21;28;0
ADIPALA;GLEMPANGPASIR;TPS-025;24;9;15;6;1;2;0;1;1;0;1;4;0;3;3;30;49;1
